"","X.7","X.6","X.5","X.4","X.3","X.2","X.1","Park_Name","Park_Type","Zip_Code","Aqua_Feat__Pool","Aqua_Feat__Spray","Backstop__Practice","Ballfield","Basketball","Blueway","Complex__Ballfield","Complex__Tennis","Concessions","Disk_Golf","Driving_Range","Educational_Experience","Event_Space","Fitness_Course","Garden__Community","Garden__Display","Golf","Hockey__Ice","Loop_Walk","MP_Field__Large","MP_Field__Multiple","MP_Field__Small","Multiuse_Court","Natural_Area","Open_Turf","Open_Water","Other___Active","Other_Passive","Passive_Node","Picnic_Grounds","Playground__Destination","Playground__Local","Public_Art","Shelter","Shelter__Group","Skate_Park","Sledding_Hill","Structure","Tennis","Trail__Primitive","Volleyball","Water_Access__Developed","Water_Access__General","Water_Feature","Address","X","Y"
"34",34,34,34,34,34,34,34,"Elbel Golf Course","Golf Course",46628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"26595 Auten Road, South Bend, Indiana 46628",-86.38303277,41.74452579
"35",35,35,35,35,35,35,35,"Booth Tarkington","Neighborhood Park",46635,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1722 Rerick Drive, South Bend, Indiana 46635",-86.20190787,41.6987123
"36",36,36,36,36,36,36,36,"Boehm Park","Community Park",46617,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,"3205 Edison Road, South Bend, Indiana 46617",-86.20279481,41.69466906
"37",37,37,37,37,37,37,37,"Boland Park","Community Park",46628,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,"3000 Bendix, South Bend, Indiana 46628",-86.30776964,41.70800952
"38",38,38,38,38,38,38,38,"Coquillard Park","Neighborhood Park",46617,NA,1,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,"1300 Campaeu, South Bend, Indiana 46617",-86.23081651,41.68598226
"39",39,39,39,39,39,39,39,"East Race Waterway","Community Park",46617,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"126 N. Niles, South Bend, Indiana 46617",-86.24432329,41.67740128
"40",40,40,40,40,40,40,40,"Edison Park","Neighborhood Park",46615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"2400 Rockne Dr, South Bend, Indiana 46615",-86.21338156,41.68932081
"41",41,41,41,41,41,41,41,"Helman Mini Park","Block Park",46615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1118 Helmen, South Bend, Indiana 46615",-86.20093431,41.6898799
"42",42,42,42,42,42,42,42,"Keller Park","Neighborhood Park",46616,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,4,NA,NA,NA,1,NA,"1935 Riverside Drive, South Bend, Indiana 46616",-86.26042586,41.70278014
"43",43,43,43,43,43,43,43,"Nokomis Park","Block Park",46617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"310 Wakewa, South Bend, Indiana 46617",-86.25416943,41.69005327
"44",44,44,44,44,44,44,44,"Parkovash Park","Block Park",46617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"215 Parkovash Avenue, South Bend, Indiana 46617",-86.252747,41.69207438
